City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,caloto,3.0359,-76.4079,22.14,86,100,0.17,CO,1696200843
83,uturoa,-16.7333,-151.4333,25.79,82,23,7.66,PF,1696200843
84,laiyang,36.9758,120.7136,15.61,61,41,0.77,CN,1696200843
85,tosontsengel,48.7567,98.2839,1.14,92,100,1.28,MN,1696200843
86,vila velha,-20.3297,-40.2925,21.97,90,40,4.63,BR,1696200843
87,gizo,-8.103,156.8419,27.82,80,76,7.65,SB,1696200844
88,lamu,-2.2717,40.902,23.12,76,2,4.89,KE,1696200844
89,puerto natales,-51.7236,-72.4875,2.53,72,32,5.15,CL,1696200844
90,yuzhno-kurilsk,44.0306,145.8556,14.1,91,22,3.36,RU,1696200844
91,atafu village,-8.5421,-172.5159,28.48,70,61,1.41,TK,1696200844
92,pisco,-13.7,-76.2167,21.03,73,0,8.23,PE,1696200844
93,filingue,14.3521,3.3168,34.13,31,32,4.95,NE,1696200844
94,port alfred,-33.5906,26.891,13.43,86,3,1.34,ZA,1696200844
95,miches,18.9836,-69.0476,27.57,84,100,3.07,DO,1696200845
96,east london,-33.0153,27.9116,14.97,68,19,5.77,ZA,1696200845
97,enewetak,11.3474,162.3373,29.31,75,74,5.19,MH,1696200845
98,monywa,22.1167,95.1333,24.58,92,91,2.18,MM,1696200845
99,vilyuchinsk,52.9306,158.4028,4.15,91,99,2.53,RU,1696200845
100,suonenjoki,62.6167,27.1333,7.89,96,75,2.27,FI,1696200845
101,kiunga,-6.1219,141.2906,24.56,95,100,1.43,PG,1696200845
102,launceston,-41.45,147.1667,12.97,66,15,2.06,AU,1696200642
103,nemuro,43.3236,145.575,15.08,83,27,3.52,JP,1696200845
104,fale old settlement,-9.3852,-171.2468,28.25,72,53,3.76,TK,1696200846
105,iqaluit,63.7506,-68.5145,3.85,75,100,0.0,CA,1696200846
106,nelson bay,-32.7167,152.15,22.27,69,5,3.13,AU,1696200846
107,colonia,50.9333,6.95,19.38,80,0,1.54,DE,1696200846
108,kodiak,57.79,-152.4072,9.73,76,100,5.14,US,1696200846
109,lebu,-37.6167,-73.65,9.63,80,100,2.92,CL,1696200846
110,lagos,6.5833,3.75,27.18,94,77,1.76,NG,1696200612
111,port saint john's,-31.6229,29.5448,16.83,64,100,3.16,ZA,1696200846
112,wailua homesteads,22.0669,-159.378,29.24,79,40,5.66,US,1696200847
113,wanlaweyn,2.6185,44.8938,24.87,83,3,4.6,SO,1696200847
